model,description,mode,total_items,retrieval_recall_pct,acerto_factual,fidelidade_contexto,qualidade_pt,citacao_fonte,score_global,pass_gate_pct,latency_avg_s,latency_r1_s,latency_r2_s,speed_tok_s,tool_call_rate_pct,query_reformulation_rate_pct
lfm2-1.2b,Liquid LFM2 1.2B RAG,classic_rag,101,20.8,1.36,1.21,3.44,1.16,1.59,3.0,9.66,N/A,N/A,62.5,N/A,N/A
lfm2-1.2b,Liquid LFM2 1.2B RAG,query_rewrite_inject,101,25.7,1.43,1.31,3.53,1.3,1.68,5.0,11.38,1.49,9.89,61.6,N/A,N/A
lfm2-1.2b,Liquid LFM2 1.2B RAG,tool_calling,101,0.0,1.13,1.07,3.18,1.02,1.4,0.0,3.48,3.48,0.0,0,0.0,0.0
lfm2-1.2b,Liquid LFM2 1.2B RAG,query_rewrite_inject_topk2,101,19.8,1.43,1.29,3.54,1.19,1.66,4.0,0.81,0.14,0.67,450.1,N/A,N/A
lfm2-1.2b,Liquid LFM2 1.2B RAG,classic_rag_topk2,101,13.9,1.35,1.19,3.52,1.21,1.6,4.0,0.7,N/A,N/A,450.8,N/A,N/A
gemma-3-1b,Gemma 3 1B IT,classic_rag,101,20.8,1.03,1.0,3.14,1.0,1.33,0.0,5.47,N/A,N/A,55.8,N/A,N/A
gemma-3-1b,Gemma 3 1B IT,query_rewrite_inject,101,24.8,1.03,1.02,3.13,1.01,1.34,0.0,6.31,1.03,5.28,55.6,N/A,N/A
gemma-3-1b,Gemma 3 1B IT,tool_calling,101,0.0,1.33,1.11,3.25,1.0,1.49,0.0,3.75,3.75,0.0,0,0.0,0.0
gemma-3-1b,Gemma 3 1B IT,query_rewrite_inject_topk2,101,16.8,1.0,1.0,3.06,1.0,1.31,0.0,0.26,0.13,0.13,230.1,N/A,N/A
gemma-3-1b,Gemma 3 1B IT,classic_rag_topk2,101,13.9,1.01,1.01,3.12,1.0,1.32,0.0,0.17,N/A,N/A,241.6,N/A,N/A
qwen3.5-0.8b,Qwen 3.5 0.8B (Gated DeltaNet hybrid),classic_rag,101,20.8,1.18,1.23,3.23,1.12,1.49,2.0,8.11,N/A,N/A,65.8,N/A,N/A
qwen3.5-0.8b,Qwen 3.5 0.8B (Gated DeltaNet hybrid),query_rewrite_inject,101,27.7,1.18,1.17,3.25,1.16,1.48,1.0,9.54,0.81,8.73,68.7,N/A,N/A
qwen3.5-0.8b,Qwen 3.5 0.8B (Gated DeltaNet hybrid),tool_calling,101,24.8,1.35,1.24,3.12,1.27,1.57,5.0,13.71,2.37,11.34,0,100.0,100.0
qwen3.5-0.8b,Qwen 3.5 0.8B (Gated DeltaNet hybrid),query_rewrite_inject_topk2,101,27.7,1.12,1.13,3.32,1.06,1.44,0.0,6.64,0.67,5.98,71.2,N/A,N/A
qwen3.5-0.8b,Qwen 3.5 0.8B (Gated DeltaNet hybrid),classic_rag_topk2,101,13.9,1.13,1.18,3.29,1.14,1.47,1.0,5.81,N/A,N/A,66.9,N/A,N/A
lfm2.5-1.2b-instruct,Liquid LFM2.5 1.2B Instruct,classic_rag,101,20.8,1.12,1.11,3.23,1.05,1.42,1.0,5.36,N/A,N/A,61.8,N/A,N/A
lfm2.5-1.2b-instruct,Liquid LFM2.5 1.2B Instruct,query_rewrite_inject,101,28.7,1.2,1.14,3.41,1.1,1.49,0.0,7.08,1.14,5.94,61.6,N/A,N/A
lfm2.5-1.2b-instruct,Liquid LFM2.5 1.2B Instruct,tool_calling,101,0.0,1.08,1.04,3.45,1.02,1.41,0.0,2.53,2.53,0.0,0,0.0,0.0
lfm2.5-1.2b-instruct,Liquid LFM2.5 1.2B Instruct,query_rewrite_inject_topk2,101,23.8,1.18,1.13,3.32,1.11,1.47,1.0,5.0,0.5,4.5,65.6,N/A,N/A
lfm2.5-1.2b-instruct,Liquid LFM2.5 1.2B Instruct,classic_rag_topk2,101,13.9,1.11,1.12,3.2,1.06,1.42,1.0,3.83,N/A,N/A,65.0,N/A,N/A
lfm2.5-1.2b-thinking,Liquid LFM2.5 1.2B Thinking,classic_rag,101,20.8,1.35,1.19,1.78,1.09,1.31,1.0,15.47,N/A,N/A,62.8,N/A,N/A
lfm2.5-1.2b-thinking,Liquid LFM2.5 1.2B Thinking,query_rewrite_inject,101,5.0,1.21,1.07,1.5,1.05,1.18,1.0,15.85,1.39,14.46,62.1,N/A,N/A
