model,description,mode,total_items,retrieval_recall_pct,acerto_factual,fidelidade_contexto,qualidade_pt,citacao_fonte,score_global,pass_gate_pct,latency_avg_s,latency_r1_s,latency_r2_s,speed_tok_s,tool_call_rate_pct,query_reformulation_rate_pct
lfm1.2b__baseline,"lfm1.2b × condição baseline (retrieval v3, thinking-OFF)",classic_rag,151,52.3,1.48,1.46,3.6,1.3,1.76,0.0,0,N/A,N/A,0,N/A,N/A
lfm1.2b__full,"lfm1.2b × condição full (retrieval v3, thinking-OFF)",classic_rag,151,52.3,1.05,1.06,3.61,1.13,1.45,0.7,0,N/A,N/A,0,N/A,N/A
lfm2.6b_noth__baseline,"lfm2.6b_noth × condição baseline (retrieval v3, thinking-OFF)",classic_rag,151,52.3,2.27,2.15,4.25,1.97,2.47,21.2,0,N/A,N/A,0,N/A,N/A
lfm2.6b_noth__citation,"lfm2.6b_noth × condição citation (retrieval v3, thinking-OFF)",classic_rag,151,52.3,2.13,2.01,4.15,2.05,2.38,16.6,0,N/A,N/A,0,N/A,N/A
lfm2.6b_noth__fewshot,"lfm2.6b_noth × condição fewshot (retrieval v3, thinking-OFF)",classic_rag,151,52.3,2.19,2.22,4.12,2.23,2.5,21.9,0,N/A,N/A,0,N/A,N/A
lfm2.6b_noth__full,"lfm2.6b_noth × condição full (retrieval v3, thinking-OFF)",classic_rag,151,52.3,2.34,2.15,4.18,1.95,2.48,21.2,0,N/A,N/A,0,N/A,N/A
lfm2.6b_noth__ordering,"lfm2.6b_noth × condição ordering (retrieval v3, thinking-OFF)",classic_rag,151,52.3,2.19,2.04,4.25,2.01,2.42,22.5,0,N/A,N/A,0,N/A,N/A
minicpm1b__baseline,"minicpm1b × condição baseline (retrieval v3, thinking-OFF)",classic_rag,151,52.3,1.02,1.01,2.94,1.0,1.3,0.0,0,N/A,N/A,0,N/A,N/A
minicpm1b__full,"minicpm1b × condição full (retrieval v3, thinking-OFF)",classic_rag,151,52.3,1.11,1.1,2.45,1.34,1.35,0.0,0,N/A,N/A,0,N/A,N/A
minicpm2b__baseline,"minicpm2b × condição baseline (retrieval v3, thinking-OFF)",classic_rag,151,52.3,1.65,1.58,3.34,1.48,1.85,7.9,0,N/A,N/A,0,N/A,N/A
minicpm2b__full,"minicpm2b × condição full (retrieval v3, thinking-OFF)",classic_rag,151,52.3,2.01,1.89,3.6,1.72,2.15,9.9,0,N/A,N/A,0,N/A,N/A
